,Age,DailyRate,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,_Attrition_bin
JobSatisfaction,-0.005185,0.027829,-0.013078,-0.005175,,-0.04715,-0.002993,-0.06834,-0.012148,-0.000852,1.0,0.004881,-0.002702,-0.051516,0.02397,0.006979,-0.014679,,0.012785,-0.015875,-0.011681,-0.029781,0.01228,0.000531,0.007497,-0.016772,-0.102948
MonthlyIncome,0.471902,0.01626,0.002512,0.120028,,0.001797,-0.015163,-0.019762,-0.024552,0.920429,0.004881,1.0,0.054277,0.190307,-0.033767,-0.026999,0.003885,,0.045852,0.710024,-0.034847,0.030759,0.464315,0.394712,0.264599,0.365386,-0.198305
MonthlyRate,0.017451,-0.03236,0.039618,-0.021214,,0.011933,0.037477,-0.014888,-0.018117,0.052792,-0.002702,0.054277,1.0,0.019553,-0.005471,-0.009698,-0.000373,,-0.037274,0.01336,-0.010018,0.006316,-0.029862,-0.006865,-0.016285,-0.035059,0.015258
NumCompaniesWorked,0.353213,0.036548,-0.009592,0.135103,,0.007011,0.006151,0.019209,0.015448,0.17827,-0.051516,0.190307,0.019553,1.0,4.6e-05,-0.008298,0.040296,,0.032277,0.315196,-0.047336,0.009103,-0.17107,-0.127673,-0.06695,-0.144129,0.030505
PercentSalaryHike,0.007709,0.02507,0.029666,0.0043,,-0.008179,-0.030489,-0.009876,-0.016999,-0.032453,0.02397,-0.033767,-0.005471,4.6e-05,1.0,0.628519,-0.034915,,0.023446,-0.025528,-0.004106,0.00093,-0.054117,-0.025528,-0.055362,-0.026049,-0.023612
PerformanceRating,9.3e-05,0.000624,0.01132,-0.025081,,-0.020675,-0.02916,-0.002185,-0.024733,-0.018608,0.006979,-0.026999,-0.009698,-0.008298,0.628519,1.0,-0.032989,,0.011028,0.011678,-0.016676,0.006808,0.017224,0.032719,-0.006578,0.02556,0.002889
RelationshipSatisfaction,0.046063,0.009685,0.005852,-0.013173,,-0.072991,0.005353,0.000259,0.037857,0.011311,-0.014679,0.003885,-0.000373,0.040296,-0.034915,-0.032989,1.0,,-0.056249,0.003971,0.005424,0.017684,-0.001267,-0.0214,0.036963,0.00028,-0.042664
StandardHours,,,,,,,,,,,,,,,,,,,,,,,,,,,
StockOptionLevel,0.056633,0.038514,0.03019,0.013794,,0.05948,0.009826,0.050543,0.034464,0.047786,0.012785,0.045852,-0.037274,0.032277,0.023446,0.011028,-0.056249,,1.0,0.052618,0.003388,-0.016568,0.064974,0.071627,0.027502,0.053646,-0.172296
TotalWorkingYears,0.656896,0.020951,-0.002912,0.162177,,-0.003748,-0.013882,-0.012072,0.006444,0.734678,-0.015875,0.710024,0.01336,0.315196,-0.025528,0.011678,0.003971,,0.052618,1.0,-0.014151,0.003004,0.594193,0.492721,0.334996,0.495254,-0.199002
TrainingTimesLastYear,0.000316,-0.011339,-0.024848,-0.023749,,0.026502,-0.011659,0.000292,0.002014,-0.019729,-0.011681,-0.034847,-0.010018,-0.047336,-0.004106,-0.016676,0.005424,,0.003388,-0.014151,1.0,0.02369,0.001389,0.004581,0.010215,-0.011628,-0.051757
WorkLifeBalance,-0.003707,-0.040352,-0.020402,0.01735,,0.009994,0.027169,-0.010003,-0.019889,0.040466,-0.029781,0.030759,0.006316,0.009103,0.00093,0.006808,0.017684,,-0.016568,0.003004,0.02369,1.0,0.004675,0.023214,0.002151,-0.004591,-0.051951
YearsAtCompany,0.251686,-0.009778,0.010513,0.064196,,0.013205,0.008425,-0.029032,0.013836,0.472283,0.01228,0.464315,-0.029862,-0.17107,-0.054117,0.017224,-0.001267,,0.064974,0.594193,0.001389,0.004675,1.0,0.854,0.519966,0.842803,-0.190419
YearsInCurrentRole,0.197978,0.007208,0.013708,0.054567,,-0.001079,0.02014,-0.034016,0.015548,0.391085,0.000531,0.394712,-0.006865,-0.127673,-0.025528,0.032719,-0.0214,,0.071627,0.492721,0.004581,0.023214,0.854,1.0,0.505657,0.724754,-0.180623
YearsSinceLastPromotion,0.173647,-0.037631,-0.004685,0.032203,,0.007857,0.026082,-0.052412,-0.008307,0.269096,0.007497,0.264599,-0.016285,-0.06695,-0.055362,-0.006578,0.036963,,0.027502,0.334996,0.010215,0.002151,0.519966,0.505657,1.0,0.466713,-0.053273
YearsWithCurrManager,0.194818,-0.004717,0.004448,0.051292,,-0.005138,-0.001732,-0.013811,0.037397,0.370889,-0.016772,0.365386,-0.035059,-0.144129,-0.026049,0.02556,0.00028,,0.053646,0.495254,-0.011628,-0.004591,0.842803,0.724754,0.466713,1.0,-0.175355
_Attrition_bin,-0.171214,-0.05697,0.079248,-0.030346,,-0.010369,-0.096486,-0.006692,-0.119496,-0.19037,-0.102948,-0.198305,0.015258,0.030505,-0.023612,0.002889,-0.042664,,-0.172296,-0.199002,-0.051757,-0.051951,-0.190419,-0.180623,-0.053273,-0.175355,1.0
